id,x,y,k,
101,20.449728,-39.797744,8,
102,81.983721,114.249054,3,
103,-21.809587,-1.251647,9,
104,-4.787558,-91.334287,6,
105,-24.651427,-24.952921,9,
106,-5.964947,-131.101256,6,
107,-34.776079,-2.991109,9,
108,-146.935058,219.245437,2,
109,125.683170,216.252835,3,
110,172.485681,-9.504435,5,
111,-78.473617,203.854760,2,
112,-82.147162,-60.464211,6,
113,109.011939,69.303732,6,
114,123.310786,-14.688007,6,
115,43.648621,-0.491446,8,
116,-105.969991,130.763948,4,
117,-15.814997,81.211135,6,
118,22.177096,-37.345582,9,
119,11.224604,-22.147895,9,
120,59.021922,-106.405700,6,
121,-23.063771,-47.488111,9,
122,-44.970300,-118.454922,6,
123,-41.178198,-116.091269,5,
124,-126.011060,-96.109308,5,
125,-105.812547,97.697261,4,
126,269.346802,-85.058840,1,
127,49.003170,159.881094,5,
128,-99.641542,95.656491,4,
129,-154.871365,53.214201,5,
130,-10.700803,166.655367,3,
131,-75.304956,119.575146,5,
132,51.912473,165.787453,3,
133,-75.459926,-155.396518,5,
134,219.069149,153.863474,1,
135,236.877308,129.750184,1,
136,266.187188,68.952667,1,
137,-48.236057,1.096888,7,
138,-133.898518,54.221804,4,
139,-20.337032,-155.349148,5,
140,-160.736701,51.067334,4,
141,-88.710526,76.632103,6,
142,-159.605737,34.870189,4,
143,-21.472826,-30.382395,9,
144,-156.228069,33.709714,4,
145,5.800478,50.980693,7,
146,-100.631184,-10.654650,4,
147,-79.159476,121.690137,2,
148,30.824255,176.443399,1,
149,143.098482,-110.442561,5,
150,-14.802551,-112.378499,5,
151,61.185803,-123.869127,6,
152,-120.537676,54.772244,4,
153,163.082936,50.593340,5,
154,-71.747281,17.698247,7,
155,94.930622,61.172211,6,
156,-40.800189,280.287178,2,
157,168.218510,-92.307472,5,
158,128.572024,67.186803,5,
159,206.054562,-41.401081,5,
160,188.330524,-29.979764,5,
161,35.448196,-71.750510,7,
162,-53.598391,-104.523125,6,
163,33.238482,-154.903018,5,
164,-131.627455,-70.513794,4,
165,-140.876233,-33.966142,4,
166,-132.570991,41.636735,4,
167,9.412297,-141.158118,5,
168,-141.759481,-0.901248,4,
169,-79.397517,-30.136952,6,
170,62.053045,39.115482,7,
171,-33.546573,-111.257752,6,
172,-56.631461,144.179020,3,
173,35.438296,-82.304476,7,
174,-33.278902,-146.117365,5,
175,60.373328,-149.299987,5,
176,-65.908236,52.907590,6,
177,-4.861699,-19.191437,8,
178,135.916478,21.292410,6,
179,-185.098396,250.091815,2,
180,-307.777583,53.142423,2,
181,-192.732549,244.018204,2,
182,-266.416750,159.005312,2,
183,-233.461604,204.342555,2,
184,107.847083,-14.799930,7,
185,-159.629956,-25.349954,4,
186,-43.226120,-85.741056,7,
187,16.573415,-150.947437,5,
188,-7.375416,-6.839359,9,
189,105.755855,23.552901,7,
190,67.825784,67.808992,7,
191,110.582615,8.725456,7,
192,105.278655,24.671428,7,
193,-62.210016,12.927795,7,
194,-21.147457,-84.961445,7,
195,17.361038,81.843898,7,
196,-91.878173,160.857635,3,
197,153.170290,91.780086,5,
198,-54.017017,360.003765,1,
199,140.108594,279.129998,1,
200,-190.850597,115.621395,3,
201,-211.656965,73.195021,3,
202,-217.906788,98.961048,1,
203,369.113973,-256.801314,2,
204,368.231426,-255.199387,2,
205,367.054030,-255.841198,2,
206,-147.939577,-4.447588,2,
207,-22.334083,-30.373594,9,
208,-30.905786,22.631025,7,
209,-171.148041,-30.332472,1,
210,86.503199,-18.940986,7,
211,23.864028,8.779695,9,
212,39.354577,7.581127,8,
213,-26.010533,43.841622,9,
214,-3.246544,23.119134,9,
215,-158.306764,11.662300,2,
216,-47.011386,-43.122628,9,
217,-40.042241,-40.712897,9,
218,-9.098412,-9.763677,9,
219,-1.797001,-148.308594,6,
220,74.545142,-154.350624,5,
221,153.772830,-8.191110,6,
222,-218.581434,-33.294288,3,
223,12.146666,123.948760,6,
224,-218.577070,6.996124,2,
225,47.442210,89.624248,6,
226,-8.178024,-8.412750,8,
227,-77.432839,-107.994280,6,
228,-200.742546,-32.774651,3,
229,-165.893574,-60.669721,4,
230,159.925828,-27.540173,6,
231,125.467212,94.486410,5,
232,103.926529,-126.984192,5,
233,-162.872712,-102.695892,2,
234,-144.152797,-49.499353,2,
235,11.956025,-2.542957,9,
