source,target,
57,56,43.984409,
257,256,44.034138,
499,257,44.034138,
827,257,44.034138,
646,645,44.036664,
647,291,44.036664,
316,13,44.044316,
321,13,44.044316,
326,13,44.044316,
327,13,44.044316,
330,13,44.044316,
331,13,44.044316,
456,100,44.121764,
462,457,44.144784,
537,403,44.144784,
197,41,44.185544,
388,8,44.196082,
447,250,44.218861,
553,552,44.291598,
676,675,44.291598,
677,675,44.291598,
758,756,44.291598,
897,896,44.291598,
725,161,44.313967,
452,427,44.323541,
110,109,44.335795,
539,57,44.335795,
620,325,44.335795,
785,544,44.360003,
852,87,44.378277,
892,318,44.407269,
125,71,44.427857,
301,52,44.444853,
487,52,44.444853,
500,16,44.483323,
763,472,44.492860,
276,16,44.548461,
337,16,44.548461,
102,8,44.580555,
287,8,44.580555,
313,8,44.580555,
391,8,44.580555,
400,8,44.580555,
127,100,44.595245,
775,12,44.595245,
390,47,44.648658,
437,435,44.651320,
323,8,44.677220,
254,48,44.689975,
697,449,44.709310,
416,253,44.760682,
564,217,44.762201,
149,137,44.897904,
834,255,44.973054,
902,901,45.005028,
560,558,45.005028,
652,650,45.005028,
672,671,45.005028,
860,859,45.005028,
123,120,45.021461,
693,242,45.062974,
174,45,45.226982,
824,211,45.238898,
611,305,45.252703,
635,15,45.331658,
150,52,45.433211,
628,350,45.442073,
334,13,45.447143,
335,13,45.447143,
239,236,45.499915,
199,198,45.510560,
534,199,45.510560,
559,558,45.510560,
536,535,45.510560,
538,535,45.510560,
656,654,45.510560,
825,177,45.551496,
917,177,45.551496,
728,257,45.673825,
392,103,45.731523,
318,261,45.879377,
182,180,45.919528,
205,204,45.919528,
362,361,45.919528,
422,421,45.919528,
568,567,45.919528,
569,567,45.919528,
652,651,45.919528,
695,694,45.919528,
724,723,45.919528,
792,791,45.919528,
554,552,45.919870,
614,613,45.919870,
655,653,45.919870,
759,480,45.919870,
848,614,45.919870,
812,811,46.022559,
270,269,46.061036,
378,103,46.069107,
387,103,46.069107,
395,103,46.069107,
401,103,46.069107,
407,103,46.069107,
606,47,46.069107,
850,847,46.271955,
918,686,46.271955,
595,590,46.271955,
662,624,46.271955,
911,698,46.271955,
389,8,46.292006,
394,8,46.292006,
396,8,46.292006,
72,61,46.302747,
155,22,46.357430,
328,235,46.448296,
310,52,46.572487,
587,575,46.584709,
693,689,46.584709,
920,900,46.584709,
358,357,46.584709,
900,809,46.584709,
465,368,46.585522,
878,402,46.585522,
375,373,46.585522,
528,368,46.585522,
851,476,46.585522,
867,732,46.585522,
448,445,46.871141,
556,555,46.871141,
670,113,46.871141,
673,671,46.871141,
835,625,46.871141,
876,351,46.871141,
910,682,46.871141,
912,537,46.871141,
428,238,47.123942,
433,238,47.123942,
183,181,47.134042,
363,361,47.134042,
680,678,47.134042,
680,679,47.134042,
84,81,47.135434,
599,577,47.135434,
609,576,47.135434,
879,131,47.135434,
372,107,47.166926,
817,107,47.166926,
643,263,47.206530,
4,1,47.380883,
501,500,47.380883,
858,856,47.380883,
684,144,47.382847,
740,665,47.382847,
896,264,47.382847,
531,388,47.382847,
177,164,47.394594,
177,166,47.394594,
177,172,47.394594,
749,45,47.448004,
906,71,47.498246,
359,45,47.601804,
836,45,47.601804,
838,45,47.601804,
839,45,47.601804,
841,45,47.601804,
204,203,47.614461,
703,702,47.614461,
653,2,47.616530,
656,2,47.616530,
283,13,47.805037,
285,13,47.805037,
293,13,47.805037,
309,13,47.805037,
549,13,47.805037,
707,13,47.805037,
711,13,47.805037,
713,13,47.805037,
826,13,47.805037,
868,13,47.805037,
742,426,47.838802,
748,332,47.838802,
146,8,48.021586,
783,782,48.048020,
797,655,48.048020,
368,367,48.048587,
423,421,48.048587,
529,368,48.048587,
738,734,48.048587,
798,745,48.048587,
901,423,48.048587,
513,155,48.051427,
750,744,48.051427,
753,750,48.051427,
176,162,48.061885,
860,218,48.112396,
405,103,48.222638,
604,47,48.222638,
850,412,48.255778,
739,667,48.449250,
769,556,48.449250,
350,348,48.449250,
789,411,48.449250,
366,354,48.452951,
865,79,48.452951,
717,16,48.461252,
572,16,48.637597,
821,16,48.637597,
822,16,48.637597,
590,587,48.638711,
700,697,48.638711,
809,780,48.638711,
819,611,48.638711,
224,219,48.643835,
475,124,48.643835,
636,218,48.713331,
104,8,48.789887,
443,442,48.823183,
710,8,48.824177,
576,254,48.824509,
799,10,49.009538,
922,137,49.009538,
497,52,49.055208,
723,188,49.074218,
177,165,49.125255,
177,168,49.125255,
109,108,49.178374,
660,657,49.178374,
660,658,49.178374,
736,731,49.178374,
358,356,49.179793,
613,63,49.185483,
58,56,49.516688,
371,369,49.516688,
806,116,49.516688,
459,457,49.518954,
805,804,49.518954,
864,805,49.518954,
862,404,49.525770,
888,404,49.525770,
776,548,49.690819,
895,548,49.690819,
251,80,49.844836,
77,70,49.852867,
894,594,49.852867,
733,731,50.156225,
806,232,50.156225,
551,550,50.157069,
714,489,50.157069,
751,551,50.157069,
833,3,50.157069,
861,455,50.157069,
908,750,50.159606,
786,750,50.159606,
845,155,50.159606,
877,750,50.159606,
64,61,50.168941,
849,524,50.309464,
582,47,50.310900,
605,47,50.310900,
727,158,50.464958,
620,619,50.464958,
5,1,50.611341,
510,5,50.611341,
566,565,50.611341,
797,5,50.611341,
491,340,50.625992,
250,249,50.757570,
411,408,50.757570,
784,433,50.757570,
831,428,50.757570,
353,91,50.762243,
136,120,50.774453,
813,143,50.774453,
453,370,51.048644,
44,43,51.210004,
840,44,51.210004,
289,13,51.213829,
398,13,51.213829,
399,13,51.213829,
709,13,51.213829,
119,68,51.229301,
434,417,51.330679,
857,28,51.336823,
490,52,51.540541,
923,137,51.615785,
450,445,51.745300,
741,226,51.771606,
683,207,51.872112,
661,657,51.881183,
796,795,51.881183,
844,781,51.881183,
909,616,51.881183,
754,750,51.884519,
913,30,51.884519,
63,62,51.890091,
690,628,51.890091,
691,628,51.890091,
921,32,52.045698,
75,65,52.417227,
94,89,52.426864,
111,55,52.426864,
259,103,52.492433,
815,257,52.583041,
774,772,52.677721,
853,318,52.690220,
889,318,52.690220,
893,318,52.690220,
206,16,52.774957,
80,78,52.939055,
905,594,52.950723,
766,5,53.066156,
783,659,53.071423,
355,278,53.833391,
743,216,53.953807,
644,273,53.970140,
732,669,54.199121,
688,628,54.208291,
692,628,54.208291,
880,683,54.386986,
126,120,54.469632,
134,120,54.469632,
135,120,54.469632,
747,107,54.512823,
875,87,54.717507,
924,87,54.717507,
621,516,54.939157,
365,364,54.949208,
233,44,55.210307,
512,44,55.210307,
720,44,55.210307,
